;rsv;r;r_base;r_diff;s;s_base;s_diff
count;50,0;50,0;50,0;50,0;50,0;50,0;50,0
mean;0,9806407472180374;-3,0763184079601986;-6,775530000000001;3,3272712935323376;584,772039800995;592,670074;7,898034199004959
std;0,022569994534839474;3,7204901028267137;2,1393283746998537;3,587955170669724;176,514335295586;180,2190485310933;9,307598792973836
min;0,9137862152273004;-16,736318407960198;-10,2891;-6,447218407960198;289,5199004975124;307,5264;-14,033301492537303
25%;0,9708713678366085;-4,564676616915423;-9,644;1,5584395522388061;522,3737562189054;515,7251;1,739086567164179
50%;0,9804735454729208;-2,298507462686567;-5,7104;3,155460945273632;582,3395522388059;592,8743;9,056647014925375
75%;0,9930571707503995;-0,5478855721393034;-5,2742;4,863224253731343;665,7450248756219;680,031;14,497237437810897
max;1,0549707917069533;2,9353233830845773;-4,8468;10,216960696517411;881,2835820895523;882,9893;26,01417562189056
