;rsv;r;r_base;r_diff;s;s_base;s_diff
count;50,0;50,0;50,0;50,0;50,0;50,0;50,0
mean;0,9771519266359755;-2,1062189054726366;-4,877818;1,4423453631840797;255,37059701492532;259,67489;4,304292985074626
std;0,03805523606812253;3,844204523646457;0,3497299020147765;2,8049495012351464;81,65500497358566;82,50604843812597;6,095691467409474
min;0,8739732379992345;-14,778606965174127;-5,441;-10,114806965174129;144,8457711442786;159,5108;-21,46698606965174
25%;0,9624178272482655;-4,545398009950249;-5,2235;0,24102487562189107;161,71890547263683;160,331525;1,2109164179104468
50%;0,9753224906940108;-2,601990049751244;-4,9348;1,868906467661692;257,297263681592;259,6336;4,1406982587064505
75%;0,9891789900382812;1,0864427860696517;-4,563575;3,380216791044776;324,2518656716418;329,75995;8,143363308457715
max;1,1537097300109325;3,644278606965174;-4,371;4,9206432835820895;371,5845771144279;368,8534;16,552928855721376
