;rsv;r;r_base;r_diff;s;s_base;s_diff
count;50,0;50,0;50,0;50,0;50,0;50,0;50,0
mean;0,9754456982324361;7,819751243781094;-26,524752000000003;15,020921154228857;439,8298507462686;437,166072;-2,66377874626866
std;0,025193531382376434;11,914691169542754;8,251082109743582;12,001790169812177;115,17374977322751;115,06016108421774;7,758597988019081
min;0,9256095348858808;-24,33582089552239;-36,672;-11,932990547263682;255,4303482587065;266,006;-20,76091592039802
25%;0,9600517666167891;1,7058457711442787;-35,7487;8,357962562189055;315,7450248756219;300,900775;-7,2574289800994904
50%;0,973275038061817;9,04228855721393;-27,078;15,431735323383085;446,24626865671644;440,8937;-3,302278358208952
75%;0,9945670196691236;13,737562189054726;-17,9377;24,259592039800996;567,9309701492537;569,0558;1,9700221393034525
max;1,0250188307135468;34,0547263681592;-13,1981;35,35566517412935;581,7388059701492;573,2715;13,478277114427897
