;rsv;r;r_base;r_diff;s;s_base;s_diff
count;50,0;50,0;50,0;50,0;50,0;50,0;50,0
mean;0,9742081946245308;-12,002388059701493;-24,926476;12,924087940298508;430,56273631840793;430,835692;0,2729556815920364
std;0,0375355804965445;6,638443998860462;8,607401468327318;10,763538469209793;112,10427618708653;114,29362340142904;8,678990117781005
min;0,9105777389015052;-25,28855721393035;-36,672;-9,935478109452736;253,00248756218903;266,006;-17,87957213930349
25%;0,9544972004666723;-17,156094527363184;-35,7487;5,89230199004975;303,19216417910445;293,2882;-5,9436634328358195
50%;0,9663219649188336;-11,97636815920398;-27,078;11,088673880597014;442,62810945273634;443,6323;1,217442786069654
75%;0,9877033943389134;-6,392412935323383;-17,6439;20,67800236318408;563,8731343283582;569,0558;6,786855348258726
max;1,0990935362514824;-0,4502487562189055;-13,1981;34,96760547263681;582,1119402985074;573,2715;14,11719353233832
