;rsv;r;r_base;r_diff;s;s_base;s_diff
count;50,0;50,0;50,0;50,0;50,0;50,0;50,0
mean;0,9884229284847063;-3,7307960199004975;-5,399782000000001;0,42102578109452726;722,7584577114427;727,995824;5,2373662885572
std;0,02990182212540619;4,475065026538106;1,3794153956481057;3,415121114699133;524,5196440187678;525,0055442429274;10,662258228582576
min;0,9361815656377273;-12,41044776119403;-10,2891;-7,85204776119403;153,36567164179104;159,5108;-31,11281890547275
25%;0,9725173663912594;-6,769900497512438;-5,441;-1,8770412935323386;292,80970149253733;300,63315;0,5967300995024871
50%;0,9879630141021258;-4,774875621890548;-5,0311;0,04398606965174105;584,1057213930349;592,8743;5,302850746268646
75%;1,000132125896477;-0,2630597014925373;-4,5773;3,25009539800995;1114,4664179104477;1131,4403750000001;12,22275945273632
max;1,0967280154342818;6,708955223880597;-3,395;7,234458706467661;1714,455223880597;1715,6086;25,83764079601974
