rsv;r;r_base;r_diff;s;s_base;s_diff;time
0,9817958341715964;-8,1202;-5,1515;-2,9687;616,0458;630,5876;14,541799999999967;1926,0291006565094
0,9735171958142304;-11,6483;-7,4505;-4,197800000000001;667,3301;689,9983;22,668199999999956;2316,354602098465
0,9803070913259606;-5,6798;-6,1899;0,5100999999999996;679,9161;693,1786;13,262499999999932;1920,5905752182007
0,9793010807216249;-9,8641;-9,0673;-0,7968000000000011;748,1072;764,9248;16,81759999999997;2480,913643360138
0,9868862949530645;-6,9805;-6,8627;-0,1177999999999999;709,5253;719,164;9,638699999999972;2343,880122900009
0,9777389115870857;-5,6723;-9,7111;4,0388;732,3088;745,0723;12,763500000000022;2204,7492475509644
0,9929183497449716;-5,6913;-7,8376;2,1463;770,918;774,3106;3,392600000000016;2224,5669898986816
0,9862382344984276;-3,9423;-7,139;3,1967000000000003;721,1508;728,0719;6,921100000000024;2280,647303581238
0,9639208892549451;-7,5558;-6,2575;-1,2982999999999993;698,8596;726,5987;27,739100000000008;2516,823434829712
0,9889630703646246;-7,498;-5,6324;-1,8656000000000006;713,938;723,8549;9,916900000000055;2405,0341799259186
