;rsv;r;r_base;r_diff;s;s_base;s_diff;time
count;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0
mean;0,947060971681527;-18,41994;-55,49437;37,07443;691,05237;693,46093;2,4085599999999885;2145,5471836566926
std;0,018715922438085102;19,58785529035785;11,950168355861956;14,421247428171933;31,418004578516214;31,483717268562437;5,718334704012286;155,78401529025663
min;0,9188993867351244;-67,9505;-76,5505;8,599999999999994;637,5161;635,2227;-7,414300000000026;1866,3274412155151
25%;0,9331311477992243;-22,7272;-62,9298;31,53255;677,575125;683,922225;-0,495850000000047;2073,3973456025124
50%;0,9446972776203114;-14,21175;-54,428799999999995;37,198750000000004;693,294;697,8161;1,574799999999982;2133,8334444761276
75%;0,9628016847625263;-7,32715;-50,685425;44,559275;705,124;710,386775;6,219400000000007;2191,04358458519
max;0,9760168386947731;-0,1127;-33,1393;62,0527;737,2103;740,406;11,098299999999995;2410,2689394950867
