;rsv;r;r_base;r_diff;s;s_base;s_diff
count;100,0;100,0;100,0;100,0;100,0;100,0;100,0
mean;0,981698492673543;-6,900315000000001;-5,89978;-1,000885;464,066145;471,38297300000005;7,31682799999999
std;0,025520761419575076;3,111211603165512;1,984033503046791;3,1634128283709697;245,8754232297641;245,12876443519852;10,294493793188465
min;0,906579776783188;-13,1925;-10,9857;-9,951;198,5595;214,6848;-29,545599999999922
25%;0,9662210778627477;-8,94975;-7,139;-3,3361750000000003;210,70350000000002;217,204825;3,4193499999999517
50%;0,9834939432835097;-7,02575;-5,7889;-0,8746;617,409;630,5876;7,808649999999986
75%;0,9957968097126977;-5,019;-5,074325;1,2553750000000004;710,6675;719,164;11,94735
max;1,0602345263623618;0,0175;-2,377;4,6334;774,917;774,3106;50,22059999999999
