;rsv;r;r_base;r_diff;s;s_base;s_diff
count;100,0;100,0;100,0;100,0;100,0;100,0;100,0
mean;0,9719517392774345;-3,52714;-4,676633;0,6911330000000001;212,67646500000004;218,26846499999996;5,591999999999998
std;0,030380105418782905;3,3890503959461307;2,011409805752616;2,9743839583904266;6,81476565411312;4,228548136882725;5,651420357196708
min;0,9134141082886228;-12,2615;-10,9857;-6,987300000000001;198,5275;214,6848;-16,62129999999999
25%;0,9497547119870866;-6,21325;-5,2661;-1,2518000000000002;208,33875;216,356;1,7470749999999953
50%;0,9683770979167938;-3,2145;-4,8428;1,1024000000000003;211,6445;216,8197;5,678949999999986
75%;0,9918022060396927;-1,318125;-2,441;3,083675;216,45075;218,9475;9,82827499999999
max;1,1000259403372243;4,9565;-2,377;7,0146999999999995;236,59;233,4439;18,786699999999996
