;rsv;r;r_base;r_diff;s;s_base;s_diff
count;50,0;50,0;50,0;50,0;50,0;50,0;50,0
mean;0,9707411098744071;-6,186842105263159;-14,175434000000001;7,722075604010025;188,1014536340852;186,63342999999998;-1,4680236340852126
std;0,040841147991083196;4,8987635399842535;3,5633258110589865;6,00884600867373;34,289167779631974;35,47432640967986;5,08526155045016
min;0,8730133251703219;-21,219298245614038;-19,2327;-8,461698245614034;150,3859649122807;154,5228;-18,55903233082708
25%;0,9478722950985248;-9,219924812030076;-18,3414;2,815126879699249;159,98778195488723;156,9521;-3,56816246867168
50%;0,9657097611356251;-6,555137844611529;-12,7576;8,60621992481203;165,35526315789474;162,6654;-1,0270181704260608
75%;0,9934470081935783;-1,9837092731829573;-11,4539;11,922784085213033;223,09273182957395;217,351;1,59821065162906
max;1,0697887987039452;2,3596491228070176;-9,334;18,68272506265664;239,1641604010025;237,0729;10,68545012531328
