;rsv;r;r_base;r_diff;s;s_base;s_diff
count;50,0;50,0;50,0;50,0;50,0;50,0;50,0
mean;0,9576868613685042;1,9997512437810943;-41,915994;28,613755194029853;510,8905970149254;505,55913400000003;-5,331463014925374
std;0,04402641530350547;16,32560661473536;17,83140018001276;20,091493914972457;115,10710664089225;114,19570683277273;14,011301768364127
min;0,8662876634979484;-43,049751243781095;-77,1467;-16,930913432835823;398,3283582089553;414,2125;-37,25476268656712
25%;0,9349673628890489;-9,17039800995025;-47,515074999999996;15,54516393034826;445,89552238805965;453,1204;-11,594803606965144
50%;0,9561079252172068;3,4029850746268657;-35,4174;25,653991791044778;485,3084577114429;485,4662;-3,224694527363198
75%;0,9826950751728716;12,973258706467663;-30,6326;32,78311144278607;522,0789800995025;510,9262;3,530873756218938
max;1,0896769564856732;37,85572139303483;-22,1064;73,7014263681592;878,6218905472637;866,9239;30,5854039800995
