;rsv;r;r_base;r_diff;s;s_base;s_diff;time
count;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0
mean;0,9475050695111003;-4,3275500000000005;-4,880890000000001;0,5533399999999999;207,71643;218,90721;11,190780000000004;807,2505079269409
std;0,00977800082921656;2,765698453977464;2,512212522613837;1,5553824282864401;5,796091757584014;5,495994615161931;2,3595676090711675;29,284850792857814
min;0,9314100482753946;-10,4115;-10,9857;-2,1740000000000004;201,9022;214,6848;7,65349999999998;764,7477355003357
25%;0,9405273627841826;-5,454;-5,254625;-0,024624999999999897;203,6884;216,38035;9,155625000000008;788,1270979046822
50%;0,9507268256169156;-3,8032;-4,822;0,8030499999999998;207,3781;216,84820000000002;11,817899999999995;805,4463050365448
75%;0,9559472386192917;-2,42225;-3,0034;1,3749250000000002;208,490775;218,539175;13,11672500000001;829,9845269918442
max;0,9576697566278434;-0,9521;-2,377;3,1494;222,0673;233,4439;13,506400000000014;853,905030965805
