rsv;r;s;r_base;s_base
1,016237547660476;-13,907;161,056;-5,2235;159,9758
1,056126821769828;-4,6255;169,112;-5,2235;159,9758
1,001957730439504;1,0035;161,0355;-5,2235;159,9758
1,019206919008148;-18,456;160,731;-5,2235;159,9758
0,9901056539762542;-24,951;154,9025;-5,2235;159,9758
0,9656567818383277;-14,6985;152,778;-5,2235;159,9758
1,028648986123472;-23,6535;161,333;-5,2235;159,9758
1,0137558814812098;-15,9595;160,2945;-5,2235;159,9758
1,0025269635333636;-19,6445;157,8375;-5,2235;159,9758
0,9832258669754541;-9,4445;156,532;-5,2235;159,9758
1,0278086635375787;-19,0425;162,0115;-5,2235;159,9758
0,9930724661513787;-21,8675;155,924;-5,2235;159,9758
1,0601701315974053;-22,898;166,538;-5,2235;159,9758
0,9574875374694852;-31,444;148,5085;-5,2235;159,9758
0,9971057220868035;2,745;159,9475;-5,2235;159,9758
0,9821239603955619;-13,622;155,6175;-5,2235;159,9758
0,997996131335419;-9,096;158,97;-5,2235;159,9758
1,060241057236589;-25,796;166,038;-5,2235;159,9758
1,0496561367806072;-0,0915;168,871;-5,2235;159,9758
1,035264264361647;-16,748;163,616;-5,2235;159,9758
