rsv;r;r_base;r_diff;s;s_base;s_diff;time
0,9492565901995328;-8,1556;-19,7368;11,581199999999999;217,2356;217,7029;0,4672999999999945;834,241293668747
0,9640923250278316;-20,7148;-27,5172;6,802399999999999;221,2475;223,457;2,2094999999999914;850,1731753349304
0,9583858977247127;-6,8969;-14,6642;7,7673;214,3254;216,1638;1,8384000000000071;805,5079064369202
0,9548888725885718;-10,1114;-19,812;9,700600000000001;217,7036;218,7655;1,0619000000000085;837,7437930107117
0,9667324905477016;0,1817;-11,6763;11,4946;236,1755;232,8145;-3,36099999999999;949,4916071891785
0,9121587128043768;-0,9009;-15,1737;14,2728;211,0109;217,1453;6,134399999999999;805,3250243663788
0,9470512466249782;-0,7096;-14,3635;13,6539;217,9526;216,5239;-1,428699999999992;806,8088462352753
0,973084742288991;-5,6912;-15,2792;9,588;218,4108;215,0214;-3,389399999999995;818,8504643440247
0,9659072408214577;-0,6129;-10,9484;10,3355;233,7331;231,6691;-2,0640000000000214;947,2862837314606
0,9592894282003211;-18,1467;-27,8804;9,733700000000002;223,0649;223,5678;0,502900000000011;852,7720398902893
