;rsv;r;r_base;r_diff;s;s_base;s_diff
count;50,0;50,0;50,0;50,0;50,0;50,0;50,0
mean;0,9826564558885706;-2,1413930348258705;-5,70939;2,3121760696517417;626,4814925373134;635,567044;9,085551462686546
std;0,01732030522115795;3,925035041400985;1,120443759619102;2,8925653026251834;85,36791673201058;88,31225617429294;9,86295149427347
min;0,950117826920977;-10,57960199004975;-9,644;-5,403401990049751;521,1865671641791;515,7251;-15,463954726368115
25%;0,970737624015938;-5,124378109452737;-5,9291;0,4549584577114431;574,391791044776;578,4841;2,1671736318408255
50%;0,9809108652974694;-1,1977611940298507;-5,4085;3,2462900497512437;618,8681592039801;636,4778;11,208205472636791
75%;0,9911677484604324;0,3445273631840796;-5,1762;4,611498009950249;658,3781094527363;677,9542;16,3784088308457
max;1,0400600972130762;4,7711442786069655;-4,8468;6,114892039800995;872,1716417910447;882,9893;28,565842288557175
