;rsv;r;r_base;r_diff;s;s_base;s_diff
count;100,0;100,0;100,0;100,0;100,0;100,0;100,0
mean;0,957732100935882;-17,192234999999997;-55,065815;36,489380000000004;699,4094949999999;694,780327;-4,629168000000019
std;0,027813036407869047;13,610808607380477;11,303893754847653;18,803925228445515;33,81874379932105;30,425901257791175;11,086754180788361
min;0,9059074664811838;-51,294;-76,5505;-18,1547;628,0785;635,2227;-36,529499999999985
25%;0,9364575142151581;-26,839875;-63,1846;28,83975;681,2792499999999;682,3555;-11,248299999999972
50%;0,9552661705704122;-16,38675;-51,6708;38,005300000000005;703,94875;700,8165;-4,272049999999979
75%;0,9753613115746799;-9,52375;-50,6698;49,854775;722,889;711,8828;1,8494750000000124
max;1,03792159537128;11,6215;-33,1393;72,0285;759,6635;740,406;22,658399999999915
