;rsv;r;r_base;r_diff;s;s_base;s_diff;time
count;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0
mean;0,9811586952436532;-7,2652600000000005;-7,129950000000001;-0,13531000000000032;705,80997;719,57617;13,766199999999992;2261,9589200019836
std;0,008364051108708392;2,248115736048006;1,4488489318152609;2,6554771893620597;43,8464690064738;41,27553374299358;7,241697118616436;204,78692031855746
min;0,9639208892549451;-11,6483;-9,7111;-4,197800000000001;616,0458;630,5876;3,392600000000016;1920,5905752182007
25%;0,9781294538707205;-7,979100000000001;-7,740825;-1,7237750000000003;684,651975;699,67495;9,708249999999992;2209,7036831378937
50%;0,9810514627487785;-7,23925;-7,00085;-0,4573000000000005;711,73165;725,2268;13,012999999999977;2298,5009528398514
75%;0,9867242798394052;-5,682675;-6,206799999999999;1,73725;729,5193;740,8222000000001;16,24864999999997;2389,745665669441
max;0,9929183497449716;-3,9423;-5,1515;4,0388;770,918;774,3106;27,739100000000008;2516,823434829712
