;rsv;r;r_base;r_diff;s;s_base;s_diff
count;100,0;100,0;100,0;100,0;100,0;100,0;100,0
mean;0,97689707304224;-3,3654549999999994;-36,468617;21,426682;461,18791999999996;453,048011;-8,139909000000003
std;0,03538528015200248;19,948879272347657;21,1909596258655;18,95686104022659;241,33074541583636;238,65150192152018;11,35202814617434
min;0,9005904069947581;-55,953;-76,5505;-9,3189;211,2385;215,0214;-52,70330000000001
25%;0,9524919292697582;-13,469;-57,1868;7,656725;226,802;217,7029;-13,399150000000034
50%;0,9796400505368057;-5,5435;-27,8804;17,270549999999997;249,288;232,8145;-7,418100000000038
75%;0,9995332022111703;6,931;-15,046325;31,252825;705,204625;700,8165;-0,8509500000000187
max;1,1361834987171167;72,5035;-10,9484;73,461;770,1565;740,406;13,403200000000083
