;rsv;r;r_base;r_diff;s;s_base;s_diff
count;100,0;100,0;100,0;100,0;100,0;100,0;100,0
mean;0,9712176431808796;-1,7415849999999997;-35,894290999999996;26,357215999999998;449,13595000000004;438,624535;-10,511415000000014
std;0,02938380195519414;12,415247124072598;21,521103694760292;21,388894675842575;242,90588844322284;237,49410312333364;10,318093425945534
min;0,9000745893402589;-48,714;-76,5505;-15,5747;211,1155;215,0214;-48,81479999999999
25%;0,950243573422012;-8,66375;-53,0498;8,27085;224,63475;217,7029;-15,502350000000028
50%;0,9685935385265321;-2,82275;-27,8804;19,911700000000003;243,03300000000002;232,8145;-8,987100000000012
75%;0,9898643549054094;6,22975;-15,1737;44,843824999999995;711,9367500000001;694,8157;-3,270450000000011
max;1,038323698826342;27,9135;-10,9484;74,478;771,2275;740,406;6,352399999999989
