;rsv;r;r_base;r_diff;s;s_base;s_diff
count;100,0;100,0;100,0;100,0;100,0;100,0;100,0
mean;0,9914854982210928;-9,569479999999999;-7,014381000000001;-2,555099;712,2819850000001;721,0290610000001;8,74707600000001
std;0,01713141646434057;2,3684919059787535;1,364841470181157;2,6516937085452352;40,42336236017852;38,06536130702723;11,42016438968804
min;0,9344050033280743;-15,3615;-9,7111;-10,209999999999999;613,074;630,5876;-20,174099999999953
25%;0,9816756702426361;-11,248999999999999;-7,8376;-4,191875;696,5255;719,164;1,2880499999999984
50%;0,9923836705489241;-9,74925;-6,8627;-2,8459499999999998;718,097;726,5987;7,53490000000005
75%;1,0025522649118646;-8,162374999999999;-6,1899;-1,123575;737,635625;745,0723;16,429624999999987
max;1,033153695753168;-1,511;-5,1515;5,3035000000000005;783,602;774,3106;43,325199999999995
