;rsv;r;r_base;r_diff;s;s_base;s_diff
count;100,0;100,0;100,0;100,0;100,0;100,0;100,0
mean;0,9832479227269295;-10,811774999999997;-18,451038999999998;6,732094;224,98952;222,404485;-2,5850350000000026
std;0,04315553074133685;9,772702161751273;6,51377639222115;8,707453723658864;9,069810730743788;6,361314242052215;6,626978979841998
min;0,9171610693574263;-42,649;-27,8804;-27,3698;203,162;215,0214;-20,103400000000022
25%;0,9532522634257719;-16,78925;-27,5172;1,971025;219,260875;216,5239;-7,753599999999999
50%;0,9795154562583985;-9,39175;-15,2792;7,544;224,73025;223,457;-2,133899999999997
75%;1,0060130998392915;-4,875500000000001;-14,3635;11,45235;230,62175000000002;223,5678;2,8032249999999976
max;1,1653660476785557;9,094;-10,9484;23,249900000000004;251,7725;232,8145;11,859399999999994
