;rsv;r;r_base;r_diff;s;s_base;s_diff
count;100,0;100,0;100,0;100,0;100,0;100,0;100,0
mean;0,9686367738201105;-0,051360000000000273;-54,645030000000006;34,9675;706,882745;695,5148220000003;-11,367923000000014
std;0,030524305045953565;25,036633871923907;10,770452614121206;18,92098056054509;33,04985683311456;29,175974558819522;12,356551955945097
min;0,9223355576413981;-58,5115;-76,5505;-25,3722;631,43;635,2227;-47,71510000000001
25%;0,9478938892746813;-16,929875000000003;-63,1846;26,551575;691,73425;682,3555;-19,76800000000003
50%;0,9614770857546651;-1,8649999999999998;-54,428799999999995;38,776450000000004;711,7094999999999;700,8165;-10,028300000000002
75%;0,9812708563915509;14,85575;-50,6698;47,93124999999999;729,710875;711,8828;-1,6695000000000562
max;1,059864310089603;63,406;-33,1393;72,199;779,5685;740,406;18,725199999999973
