;rsv;r;r_base;r_diff;s;s_base;s_diff
count;50,0;50,0;50,0;50,0;50,0;50,0;50,0
mean;0,9687005794525575;1,9841791044776123;-24,523812;13,330876676616917;389,05960199004977;389,908434;0,8488320099502551
std;0,036860963176804186;13,55247308460813;11,4032425088735;11,515571275627746;188,87935804631383;190,20498570663673;10,204347576522457
min;0,8791180196915463;-31,68407960199005;-51,171;-4,501341293532338;147,1318407960199;154,5228;-34,62829601990052
25%;0,9437334535175611;-7,9950248756218905;-35,4174;5,983149378109454;224,04415422885572;222,281475;-4,371033955223858
50%;0,9681781102970455;2,650497512437811;-21,5654;10,826611940298509;427,2176616915423;426,9003;-1,349258955223874
75%;0,991810880684605;11,034825870646767;-14,613824999999999;18,014259825870646;468,4241293532338;480,068625;6,333593283582076
max;1,0863902981807607;32,65174129353234;-9,334;48,90483084577114;878,6691542288557;866,9239;22,125525373134337
